ds,y,case
2017-12-24,4,paleo cranberry sauce: (United States)
2017-12-31,0,paleo cranberry sauce: (United States)
2018-01-07,3,paleo cranberry sauce: (United States)
2018-01-14,3,paleo cranberry sauce: (United States)
2018-01-21,0,paleo cranberry sauce: (United States)
2018-01-28,0,paleo cranberry sauce: (United States)
2018-02-04,0,paleo cranberry sauce: (United States)
2018-02-11,0,paleo cranberry sauce: (United States)
2018-02-18,0,paleo cranberry sauce: (United States)
2018-02-25,0,paleo cranberry sauce: (United States)
2018-03-04,0,paleo cranberry sauce: (United States)
2018-03-11,0,paleo cranberry sauce: (United States)
2018-03-18,0,paleo cranberry sauce: (United States)
2018-03-25,3,paleo cranberry sauce: (United States)
2018-04-01,0,paleo cranberry sauce: (United States)
2018-04-08,0,paleo cranberry sauce: (United States)
2018-04-15,0,paleo cranberry sauce: (United States)
2018-04-22,0,paleo cranberry sauce: (United States)
2018-04-29,0,paleo cranberry sauce: (United States)
2018-05-06,0,paleo cranberry sauce: (United States)
2018-05-13,3,paleo cranberry sauce: (United States)
2018-05-20,0,paleo cranberry sauce: (United States)
2018-05-27,3,paleo cranberry sauce: (United States)
2018-06-03,3,paleo cranberry sauce: (United States)
2018-06-10,0,paleo cranberry sauce: (United States)
2018-06-17,0,paleo cranberry sauce: (United States)
2018-06-24,0,paleo cranberry sauce: (United States)
2018-07-01,0,paleo cranberry sauce: (United States)
2018-07-08,0,paleo cranberry sauce: (United States)
2018-07-15,0,paleo cranberry sauce: (United States)
2018-07-22,0,paleo cranberry sauce: (United States)
2018-07-29,0,paleo cranberry sauce: (United States)
2018-08-05,0,paleo cranberry sauce: (United States)
2018-08-12,0,paleo cranberry sauce: (United States)
2018-08-19,0,paleo cranberry sauce: (United States)
2018-08-26,3,paleo cranberry sauce: (United States)
2018-09-02,0,paleo cranberry sauce: (United States)
2018-09-09,0,paleo cranberry sauce: (United States)
2018-09-16,0,paleo cranberry sauce: (United States)
2018-09-23,0,paleo cranberry sauce: (United States)
2018-09-30,0,paleo cranberry sauce: (United States)
2018-10-07,0,paleo cranberry sauce: (United States)
2018-10-14,3,paleo cranberry sauce: (United States)
2018-10-21,0,paleo cranberry sauce: (United States)
2018-10-28,3,paleo cranberry sauce: (United States)
2018-11-04,0,paleo cranberry sauce: (United States)
2018-11-11,10,paleo cranberry sauce: (United States)
2018-11-18,45,paleo cranberry sauce: (United States)
2018-11-25,3,paleo cranberry sauce: (United States)
2018-12-02,3,paleo cranberry sauce: (United States)
2018-12-09,3,paleo cranberry sauce: (United States)
2018-12-16,7,paleo cranberry sauce: (United States)
2018-12-23,0,paleo cranberry sauce: (United States)
2018-12-30,0,paleo cranberry sauce: (United States)
2019-01-06,0,paleo cranberry sauce: (United States)
2019-01-13,3,paleo cranberry sauce: (United States)
2019-01-20,0,paleo cranberry sauce: (United States)
2019-01-27,0,paleo cranberry sauce: (United States)
2019-02-03,3,paleo cranberry sauce: (United States)
2019-02-10,0,paleo cranberry sauce: (United States)
2019-02-17,0,paleo cranberry sauce: (United States)
2019-02-24,0,paleo cranberry sauce: (United States)
2019-03-03,0,paleo cranberry sauce: (United States)
2019-03-10,0,paleo cranberry sauce: (United States)
2019-03-17,0,paleo cranberry sauce: (United States)
2019-03-24,3,paleo cranberry sauce: (United States)
2019-03-31,0,paleo cranberry sauce: (United States)
2019-04-07,3,paleo cranberry sauce: (United States)
2019-04-14,0,paleo cranberry sauce: (United States)
2019-04-21,0,paleo cranberry sauce: (United States)
2019-04-28,0,paleo cranberry sauce: (United States)
2019-05-05,0,paleo cranberry sauce: (United States)
2019-05-12,0,paleo cranberry sauce: (United States)
2019-05-19,0,paleo cranberry sauce: (United States)
2019-05-26,0,paleo cranberry sauce: (United States)
2019-06-02,0,paleo cranberry sauce: (United States)
2019-06-09,0,paleo cranberry sauce: (United States)
2019-06-16,0,paleo cranberry sauce: (United States)
2019-06-23,0,paleo cranberry sauce: (United States)
2019-06-30,0,paleo cranberry sauce: (United States)
2019-07-07,0,paleo cranberry sauce: (United States)
2019-07-14,0,paleo cranberry sauce: (United States)
2019-07-21,0,paleo cranberry sauce: (United States)
2019-07-28,0,paleo cranberry sauce: (United States)
2019-08-04,0,paleo cranberry sauce: (United States)
2019-08-11,0,paleo cranberry sauce: (United States)
2019-08-18,0,paleo cranberry sauce: (United States)
2019-08-25,0,paleo cranberry sauce: (United States)
2019-09-01,3,paleo cranberry sauce: (United States)
